,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31
TELUS,1.853412530372535e-20,0.0046198143710593775,0.0046153449713258726,0.005146752904942379,0.02449806206488232,0.025582487565038482,0.010091636981710169,0.03989178658157961,0.020560669119262874,0.00416518984768838,0.019806034439328345,0.014452771115043644,0.013071273001554052,0.025497388993533217,0.01798158120461241,0.01488692787087974,0.015990104359142984,0.01753850350754048,0.01423805403094514,0.0175
VERIZON,0.022510880174409095,0.009771572793945044,0.027800801445523875,0.030111114579236185,0.02010324480403065,0.02221835231048787,0.04201373140694536,0.014317318131444379,0.008590680755276366,0.011631136906824898,0.00015907992407005538,0.005490389706888955,0.015167994800706016,0.00540875872946431,0.014364861451717831,0.011864263947152585,0.016022609881545042,0.011400707203665433,0.0022720540300256308,0.0175
ROGERS,1.721232304707382e-20,0.011606489152350312,0.0009403902723458845,0.0017536539188197954,0.005390005957220188,0.013050565570339921,0.008444261089768628,0.0009507697218899236,0.014115224652831897,0.01616615103562263,0.011896469469351472,0.005275305309380139,0.002241746349542775,0.013335555516839286,0.015323208072507814,0.004366571831974584,0.018426341250647345,0.009192351371576948,0.018591484910162416,0.0175
Saudi Telecom,0.04748911982559091,0.044002123682645285,0.036643463310804376,0.03298847859700166,0.02000868717386685,0.009148594554133733,0.009450370521575853,0.014840125565086097,0.026733425472628868,0.0380375222098641,0.03813841616725013,0.044781533868687266,0.039518985848197165,0.025758296760163193,0.02233034943718675,0.0388822363499931,0.019560944599074495,0.03186843791721715,0.03489840702886682,0.0175
PEPSICO,3.1285885320574528e-21,0.01911674627459936,0.01942292267845086,0.011704172385450814,0.009431146843890566,0.00039841494789478023,0.014750339643499569,0.013639107245415817,0.020911904426874718,0.01860655345913452,0.014966164830065814,0.018723825306199683,0.020508831361795134,0.020101201324991186,0.019495406907165898,0.017972022052404182,0.007565056517335806,0.01865089417828556,0.020019996115430073,0.02
COCA-COLA,0.03823761011472499,0.013137166225544183,0.017129197626901096,0.0158235934200601,0.016167723385705636,0.054189282754471824,0.009239253892327305,0.016907725894715113,0.020137048426536512,0.018879908438545534,0.020103627391813983,0.01883875954406656,0.024059372974698356,0.020732603306432222,0.02146654503571227,0.018935207561436886,0.015825524854546833,0.02094298120812259,0.021262054697560297,0.02
JOHNSON&JOHNSON,0.04176238988527501,0.024728125670085234,0.021457720903966124,0.011577743109876016,0.033804992183868385,0.018851683450060452,0.02755746555937734,0.02917044954010558,0.021847126972250035,0.024886018164553804,0.039743762109725835,0.02230276591791636,0.02888778894531456,0.019872939963238065,0.018017295939155756,0.023013954815460282,0.03571098001429223,0.01949127559495866,0.019322054970545233,0.02
PROCTOR&GAMBLE,0.0,0.02301796208767122,0.021990158899114178,0.04089449108461307,0.020596137586535418,0.006560618847572978,0.028452940904795797,0.020282717319763496,0.017103920278106796,0.01762752008818759,0.005186445668394374,0.020134649325460587,0.006544006718191955,0.019293255482137894,0.02102075220946004,0.02007881567836835,0.020898438613825124,0.020914849101818837,0.019395894296417776,0.02
ENBRIDGE,0.007520810976655009,0.03221586426813392,3.9905791922053445e-05,6.529284362413155e-20,0.011064673748041721,0.014333693989136457,0.011444421716307007,0.0007275193351989894,0.02108950420632321,0.005233465988646923,0.003406868798563232,0.01415045149377712,0.031478666699933086,0.013955947519991034,0.022373151944119145,0.06325817115512314,0.03455628775146969,0.037164253293688485,0.03732497769232831,0.0433
FORTIS,0.05048293929698468,0.032464729498162447,0.07043401416368557,0.05951891621234721,0.04777934467787147,0.03720772257897924,0.029729691610282865,0.05062712583994459,0.04507653275517155,0.04748152531786136,0.043154183613428244,0.05660142536352443,0.02812987992544713,0.06164561246904539,0.02864097474676576,0.019622841106621578,0.04027568278042299,0.02764440946332964,0.04790482018717317,0.0434
